Jour,Heure de début,Heure de fin,Activité
Lundi,09:00,09:30,"Réveil, étirements, volets, petit-déj, toilette, nourrir les lapines"
Lundi,09:30,09:35,Duolingo
Lundi,09:35,10:00,"Organisation de la journée (todolist, idées, projet, écriture)"
Lundi,10:00,12:00,Avancer sur projets libres
Lundi,12:00,13:00,Écriture de devlogs
Lundi,13:00,13:30,Déjeuner
Lundi,13:30,14:00,"Pause détente (C.A.T.S, Brawl Stars...)"
Lundi,14:00,16:30,Projet Pyla
Lundi,16:30,18:00,Todolist
Lundi,18:00,19:00,Projet Univers
Lundi,19:00,20:00,Écriture (courte histoire)
Lundi,20:00,20:30,Journal de la journée
Lundi,20:30,21:00,Dîner
Lundi,21:00,22:00,Projets d'écriture
Lundi,22:00,22:30,"Préparation au coucher (volets, dents, lapines)"
Lundi,22:30,23:00,Rédaction de rêves anciens
Lundi,23:00,23:59,My Mind

Mardi,09:00,09:30,"Réveil, étirements, volets, petit-déj, toilette, nourrir les lapines"
Mardi,09:30,09:35,Duolingo
Mardi,09:35,10:00,"Organisation de la journée (todolist, idées, projet, écriture)"
Mardi,10:00,12:00,Commencer un nouveau projet
Mardi,12:00,13:00,Écriture de devlogs
Mardi,13:00,13:30,Déjeuner
Mardi,13:30,14:00,"Pause détente (C.A.T.S, Brawl Stars...)"
Mardi,14:00,16:30,Avancer sur projets libres
Mardi,16:30,18:00,Todolist
Mardi,18:00,19:00,Projet Univers
Mardi,19:00,20:00,Écriture (courte histoire)
Mardi,20:00,20:30,Journal de la journée
Mardi,20:30,21:00,Dîner
Mardi,21:00,22:00,Projets d'écriture
Mardi,22:00,22:30,"Préparation au coucher (volets, dents, lapines)"
Mardi,22:30,23:00,Rédaction de rêves anciens
Mardi,23:00,23:59,My Mind

Mercredi,09:00,09:30,"Réveil, étirements, volets, petit-déj, toilette, nourrir les lapines"
Mercredi,09:30,09:35,Duolingo
Mercredi,09:35,10:00,"Organisation de la journée (todolist, idées, projet, écriture)"
Mercredi,10:00,12:00,Avancer sur projets libres
Mercredi,12:00,13:00,Écriture de devlogs
Mercredi,13:00,13:30,Déjeuner
Mercredi,13:30,14:00,"Pause détente (C.A.T.S, Brawl Stars...)"
Mercredi,14:00,16:30,Projet Pyla
Mercredi,16:30,18:00,Todolist
Mercredi,18:00,19:00,Projet Univers
Mercredi,19:00,20:00,Écriture (courte histoire)
Mercredi,20:00,20:30,Journal de la journée
Mercredi,20:30,21:00,Dîner
Mercredi,21:00,22:00,Projets d'écriture
Mercredi,22:00,22:30,"Préparation au coucher (volets, dents, lapines)"
Mercredi,22:30,23:00,Rédaction de rêves anciens
Mercredi,23:00,23:59,My Mind

Jeudi,09:00,09:30,"Réveil, étirements, volets, petit-déj, toilette, nourrir les lapines"
Jeudi,09:30,09:35,Duolingo
Jeudi,09:35,10:00,"Organisation de la journée (todolist, idées, projet, écriture)"
Jeudi,10:00,12:00,Avancer sur projets en cours
Jeudi,12:00,13:00,Écriture de devlogs
Jeudi,13:00,13:30,Déjeuner
Jeudi,13:30,14:00,"Pause détente (C.A.T.S, Brawl Stars...)"
Jeudi,14:00,16:30,Vidéo (enregistrement et/ou script)
Jeudi,16:30,18:00,Todolist
Jeudi,18:00,19:00,Projet Univers
Jeudi,19:00,20:00,Écriture (courte histoire)
Jeudi,20:00,20:30,Journal de la journée
Jeudi,20:30,21:00,Dîner
Jeudi,21:00,22:00,Projets d'écriture
Jeudi,22:00,22:30,"Préparation au coucher (volets, dents, lapines)"
Jeudi,22:30,23:00,Rédaction de rêves anciens
Jeudi,23:00,23:59,My Mind

Vendredi,09:00,09:30,"Réveil, étirements, volets, petit-déj, toilette, nourrir les lapines"
Vendredi,09:30,09:35,Duolingo
Vendredi,09:35,10:00,"Organisation de la journée (todolist, idées, projet, écriture)"
Vendredi,10:00,12:00,Avancer sur projets libres
Vendredi,12:00,13:00,Écriture de devlogs
Vendredi,13:00,13:30,Déjeuner
Vendredi,13:30,14:00,"Pause détente (C.A.T.S, Brawl Stars...)"
Vendredi,14:00,16:30,Projet Pyla
Vendredi,16:30,18:00,Todolist
Vendredi,18:00,19:00,Projet Univers
Vendredi,19:00,20:00,Écriture (courte histoire)
Vendredi,20:00,20:30,Journal de la journée
Vendredi,20:30,21:00,Dîner
Vendredi,21:00,22:00,Projets d'écriture
Vendredi,22:00,22:30,"Préparation au coucher (volets, dents, lapines)"
Vendredi,22:30,23:00,Rédaction de rêves anciens
Vendredi,23:00,23:59,My Mind

Samedi,09:00,09:30,"Réveil, étirements, volets, petit-déj, toilette, nourrir les lapines"
Samedi,09:30,09:35,Duolingo
Samedi,09:35,10:00,"Organisation de la journée (todolist, idées, projet, écriture)"
Samedi,10:00,12:00,Avancer sur projets libres
Samedi,12:00,13:00,Écriture de devlogs
